endpoint,row_id,W_lambda1_fiducial
lambda1_start_expansion96_s384_cont120000,LHCb_7:12,0.1606597900390625
lambda1_start_expansion96_s385_cont120000,LHCb_7:12,0.16093063354492188
lambda1_start_expansion96_s386_cont120000,LHCb_7:12,0.16076326370239258
lambda1_start_expansion96_s387_cont120000,LHCb_7:12,0.1606001853942871
lambda1_start_expansion96_s388_cont120000,LHCb_7:12,0.16060614585876465
lambda1_start_expansion96_s389_cont120000,LHCb_7:12,0.1605968475341797
lambda1_start_expansion96_s390_cont120000,LHCb_7:12,0.16050219535827637
lambda1_start_expansion96_s391_cont120000,LHCb_7:12,0.16057968139648438
lambda1_start_expansion96_s392_cont120000,LHCb_7:12,0.1606302261352539
lambda1_start_expansion96_s393_cont120000,LHCb_7:12,0.16044998168945312
lambda1_start_expansion96_s394_cont120000,LHCb_7:12,0.16069817543029785
lambda1_start_expansion96_s395_cont120000,LHCb_7:12,0.1605672836303711
lambda1_start_expansion96_s396_cont120000,LHCb_7:12,0.16071653366088867
lambda1_start_expansion96_s397_cont120000,LHCb_7:12,0.1604776382446289
lambda1_start_expansion96_s398_cont120000,LHCb_7:12,0.16057300567626953
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,LHCb_7:13,-2.3825721740722656
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,LHCb_7:13,-2.3681845664978027
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,LHCb_7:13,-2.3836584091186523
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,LHCb_7:13,-2.4009156227111816
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,LHCb_7:13,-2.3602840900421143
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,LHCb_7:13,-2.3865432739257812
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,LHCb_7:13,-2.3985586166381836
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,LHCb_7:13,-2.380091905593872
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,LHCb_7:13,-2.4033124446868896
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,LHCb_7:13,-2.385618209838867
