endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction,all_positive
lambda1_start_expansion48_s340_cont120000,late_0p22_0p32,True,16.6406326040826,4.16015815102065,32.03360782824627,8.008401957061567,3.3151571737384056,2.0982631240086294,3.201197038576887,0.007723821713137008,0.9434051290959735,True
lambda1_start_expansion48_s341_cont120000,early_0p18_0p28,True,11.307564874147818,2.8268912185369546,18.24989821199311,4.562474552998277,0.8144321868200848,2.505799982224588,3.0059968752571047,0.00796061434588968,0.9807302758664834,True
lambda1_start_expansion48_s341_cont120000,central_0p20_0p30,True,15.14523697028038,3.786309242570095,26.906020649962215,6.726505162490554,2.56151607983435,2.2802234654594495,3.2010136366068367,0.007829546796500836,0.9516575771855456,True
lambda1_start_expansion48_s341_cont120000,late_0p22_0p32,True,16.512943104486425,4.128235776121606,31.882962227876114,7.970740556969028,3.3088227916993733,2.1027864505271223,3.196454071851652,0.007726449918104291,0.9440946988224357,True
lambda1_start_expansion48_s342_cont120000,early_0p18_0p28,True,11.264604409038007,2.816151102259502,18.267881912648825,4.566970478162206,0.8533575742389783,2.5050066574961005,3.0009526912540228,0.007960153397518262,0.981114832522618,True
lambda1_start_expansion48_s342_cont120000,central_0p20_0p30,True,14.58811357439227,3.6470283935980676,26.386552151778112,6.596638037944528,2.558274294504693,2.292088831494617,3.1712783035092724,0.007836440973568257,0.954885055926081,True
lambda1_start_expansion48_s342_cont120000,late_0p22_0p32,True,15.723304850475817,3.930826212618954,30.909810550791423,7.727452637697856,3.2625805723856613,2.1312141396413584,3.164423664206187,0.007742967362386269,0.9485096545259565,True
lambda1_start_expansion48_s343_cont120000,early_0p18_0p28,True,11.315088202565025,2.8287720506412564,18.24614265197527,4.561535662993817,0.8070514123554847,2.5059374427996524,3.0068700947519127,0.007960694215110862,0.9806637130770338,True
lambda1_start_expansion48_s343_cont120000,central_0p20_0p30,True,15.254992091414618,3.8137480228536544,27.00393858389028,6.75098464597257,2.5612201894485787,2.277959093934009,3.206653387584735,0.007828231120423372,0.951043410689901,True
lambda1_start_expansion48_s343_cont120000,late_0p22_0p32,True,16.671221695202007,4.167805423800502,32.06948973319867,8.017372433299668,3.316604924650112,2.097236231754375,3.202460037045319,0.007723225054170988,0.9432417745877925,True
lambda1_start_expansion48_s344_cont120000,early_0p18_0p28,True,11.302869599008268,2.825717399752067,18.252140890276245,4.563035222569061,0.81894332497321,2.5057140941755107,3.0054504588690225,0.00796056444204208,0.9807719353352975,True
lambda1_start_expansion48_s344_cont120000,central_0p20_0p30,True,15.078805557458328,3.769701389364582,26.846084231852497,6.711521057963124,2.5615531618231655,2.2816055911458304,3.197568100260801,0.00783034985804846,0.9520326044078294,True
lambda1_start_expansion48_s344_cont120000,late_0p22_0p32,True,16.41759674135156,4.10439918533789,31.76930236967777,7.942325592419443,3.3039084056326447,2.1061564223761176,3.1927835363681827,0.007728407985185436,0.9446134493994439,True
lambda1_start_expansion48_s345_cont120000,early_0p18_0p28,True,11.291134321049286,2.8227835802623216,18.25742882897756,4.56435720724439,0.8299227604483662,2.5054984972292518,3.0040796054035614,0.007960439172959079,0.9808764487007071,True
lambda1_start_expansion48_s345_cont120000,central_0p20_0p30,True,14.919263013052102,3.7298157532630256,26.699953682616037,6.674988420654009,2.5612018475167724,2.2849367093730644,3.1891218765589384,0.007832285349867508,0.9529436637959728,True
lambda1_start_expansion48_s345_cont120000,late_0p22_0p32,True,16.189105634265825,4.047276408566456,31.492603987795743,7.873150996948936,3.2915312702737753,2.1140766897962395,3.1831830059439237,0.007733009927161251,0.9458682270785044,True
lambda1_start_expansion48_s346_cont120000,early_0p18_0p28,True,11.329980009012377,2.8324950022530944,18.238073232733438,4.5595183081833595,0.7918431469834469,2.506207823444898,3.0085896343652605,0.007960851315367053,0.9805326171561155,True
lambda1_start_expansion48_s346_cont120000,central_0p20_0p30,True,15.485256708187867,3.871314177046967,27.20510948349292,6.80127737087323,2.559673271892083,2.2733071760029104,3.2183490191271544,0.00782552819951684,0.9497761480404386,True
lambda1_start_expansion48_s346_cont120000,late_0p22_0p32,True,17.007268186715898,4.251817046678974,32.4572551681848,8.1143137920462,3.3315355702793696,2.0858709752600277,3.215517514898475,0.0077166214575810094,0.9414674935561828,True
lambda1_start_expansion48_s347_cont120000,early_0p18_0p28,True,11.298902794474337,2.8247256986185842,18.253977962093387,4.563494490523347,0.8227007423450547,2.5056413662302006,3.0049879283915186,0.007960522184657754,0.9808072004531406,True
lambda1_start_expansion48_s347_cont120000,central_0p20_0p30,True,15.023901649429526,3.7559754123573814,26.796127300933474,6.6990318252333685,2.5615087632314735,2.2827392552353225,3.1946590470663203,0.00783100855504481,0.9523444113040521,True
