qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
4.5,0.00038,0.035353535,0.010748571,0.00019,0.005374286,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.5
0.1,0.0365,1.590909091,0.022942857,0.0042,0.00264,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.115068493
0.3,0.0378,0.53030303,0.07128,0.0025,0.004714286,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.066137566
0.5,0.0323,0.318181818,0.101514286,0.0019,0.005971429,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.058823529
0.7,0.0257,0.227272727,0.11308,0.0016,0.00704,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.062256809
0.9,0.0232,0.176767677,0.131245714,0.0014,0.00792,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.060344828
1.1,0.0199,0.144628099,0.137594286,0.0013,0.008988571,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.065326633
1.3,0.0128,0.122377622,0.104594286,0.001,0.008171429,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.078125
1.5,0.0082,0.106060606,0.077314286,0.0008,0.007542857,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.097560976
1.7,0.006,0.093582888,0.064114286,0.0006,0.006411429,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.1
1.9,0.0048,0.083732057,0.057325714,0.0006,0.007165714,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.125
2.1,0.0032,0.075757576,0.04224,0.0005,0.0066,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.15625
2.3,0.0025,0.06916996,0.036142857,0.0004,0.005782857,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.16
2.5,0.0014,0.063636364,0.022,0.0003,0.004714286,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.214285714
2.7,0.001,0.058922559,0.016971429,0.0003,0.005091429,0.00%,0.00%,0.03,0.028636745,0.031499516,10.5,10,11,27.39342987,0.023001665,0.021906348,0.024096983,0.394976922,0.371975257,400,0.3
